规则/样本类型,IOC值,威胁意图,风险等级,基础标签,来源渠道,适用场景
恶意URL,http://123.146.189.28:60941/i,malware_download,高,"32-bit,arm,elf,mirai,Mozi",URLhaus,Web访问日志分析
恶意URL,http://42.230.30.221:39150/i,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,https://github.com/KartikRawat0504/crawlbase-cyberweek-deals-2025/raw/refs/heads/main/henequen/deals_cyberweek_crawlbase_v2.8.zip,malware_download,高,"SmartLoader,zip",URLhaus,Web访问日志分析
恶意URL,https://raw.githubusercontent.com/KartikRawat0504/crawlbase-cyberweek-deals-2025/refs/heads/main/henequen/deals_cyberweek_crawlbase_v2.8.zip,malware_download,高,"SmartLoader,zip",URLhaus,Web访问日志分析
恶意URL,https://github.com/JohnWiiUfan/free-ip-stresser/raw/refs/heads/main/antirumor/free_stresser_ip_hemiteratics.zip,malware_download,高,"SmartLoader,zip",URLhaus,Web访问日志分析
恶意URL,https://raw.githubusercontent.com/tanmoy6787/layer-7-ddos/refs/heads/main/polliwig/ddos-layer-v3.2.zip,malware_download,高,"SmartLoader,zip",URLhaus,Web访问日志分析
恶意URL,https://github.com/tanmoy6787/layer-7-ddos/raw/refs/heads/main/polliwig/ddos-layer-v3.2.zip,malware_download,高,"SmartLoader,zip",URLhaus,Web访问日志分析
恶意URL,https://github.com/Dhruv171711/Vehicle-Report-CAPTCHA-Bypasser/raw/refs/heads/main/irresponsible/CAPTCH_Bypasser_Report_Vehicle_hastati.zip,malware_download,高,"SmartLoader,zip",URLhaus,Web访问日志分析
恶意URL,https://raw.githubusercontent.com/Dhruv171711/Vehicle-Report-CAPTCHA-Bypasser/refs/heads/main/irresponsible/CAPTCH_Bypasser_Report_Vehicle_hastati.zip,malware_download,高,"SmartLoader,zip",URLhaus,Web访问日志分析
恶意URL,http://123.146.189.28:60941/bin.sh,malware_download,高,"32-bit,arm,elf,mirai,Mozi",URLhaus,Web访问日志分析
恶意URL,http://42.230.30.221:39150/bin.sh,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://123.11.14.145:38005/i,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://115.51.242.112:38512/bin.sh,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,https://github.com/Maddouri-Ahmed/XEvil-Captcha-Solver/raw/refs/heads/main/pariahship/Solver-X-Evil-Captcha-1.4.zip,malware_download,高,"SmartLoader,zip",URLhaus,Web访问日志分析
恶意URL,https://raw.githubusercontent.com/Maddouri-Ahmed/XEvil-Captcha-Solver/refs/heads/main/pariahship/Solver-X-Evil-Captcha-1.4.zip,malware_download,高,"SmartLoader,zip",URLhaus,Web访问日志分析
恶意URL,https://github.com/ahmadfatnanali/Captcha-Solver-CNN-Keras-Tensorflow/raw/refs/heads/main/Chrissie/CN-Tensorflow-Captcha-Solver-Keras-2.2.zip,malware_download,高,"SmartLoader,zip",URLhaus,Web访问日志分析
恶意URL,https://raw.githubusercontent.com/ahmadfatnanali/Captcha-Solver-CNN-Keras-Tensorflow/refs/heads/main/Chrissie/CN-Tensorflow-Captcha-Solver-Keras-2.2.zip,malware_download,高,"SmartLoader,zip",URLhaus,Web访问日志分析
